Year,Big_cate,LayerType,Percentage(%)
2023,Beauty,3 Low rise,7.5713596115059305
2023,Beauty,4 Mid rise,2.8715920957179253
2023,Beauty,5 High rise L1,2.441038942690423
2023,Beauty,6 High rise L2,5.108946974218434
2023,Beauty,7 High rise L3,0.5177686949638686
2023,Beauty,8 Extra high rise,0.044739852249807775
2023,Daily service,1 Underground,0.31861326362306663
2023,Daily service,2 Ground floor,92.67295303893194
2023,Daily service,3 Low rise,2.6596333986867084
2023,Daily service,4 Mid rise,1.2967354433137273
2023,Daily service,5 High rise L1,1.011172315065509
2023,Daily service,6 High rise L2,1.7665328478511186
2023,Daily service,7 High rise L3,0.24566644882208322
2023,Daily service,8 Extra high rise,0.02869324370584757
2023,Entertainment,1 Underground,0.7758920132802339
2023,Entertainment,2 Ground floor,67.19927621109433
2023,Entertainment,3 Low rise,17.741713990290243
2023,Entertainment,4 Mid rise,6.439782540208252
2023,Entertainment,5 High rise L1,2.5130661669076604
2023,Entertainment,6 High rise L2,4.778945497726043
2023,Entertainment,7 High rise L3,0.5194154758346595
2023,Entertainment,8 Extra high rise,0.031908104658583285
2023,F&B,1 Underground,0.6501896754515866
2023,F&B,2 Ground floor,93.54212075534599
2023,F&B,3 Low rise,3.504207742776575
2023,F&B,4 Mid rise,1.2903339756118157
2023,F&B,5 High rise L1,0.3725895928808094
2023,F&B,6 High rise L2,0.4467432286167352
2023,F&B,7 High rise L3,0.15476501273058138
2023,F&B,8 Extra high rise,0.03905001658590811
2023,Retail goods,1 Underground,0.40792244865011634
2023,Retail goods,2 Ground floor,93.69964262388916
2023,Retail goods,3 Low rise,3.5242421351571505
2023,Retail goods,4 Mid rise,1.0524322856660626
2023,Retail goods,5 High rise L1,0.4599951567097915
2023,Retail goods,6 High rise L2,0.6636188183839555
2023,Retail goods,7 High rise L3,0.1617952462372772
2023,Retail goods,8 Extra high rise,0.03035128530648487
2023,Exercise,1 Underground,1.2721993988297047
2023,Exercise,2 Ground floor,61.97950381018913
2023,Exercise,3 Low rise,20.114209537970506
2023,Exercise,4 Mid rise,8.108108108108109
2023,Exercise,5 High rise L1,2.8770292701997704
2023,Exercise,6 High rise L2,5.000352498573983
2023,Exercise,7 High rise L3,0.6114247992360394
2023,Exercise,8 Extra high rise,0.03717257689275711
2023,Training,1 Underground,0.2625797888420865
2023,Training,2 Ground floor,65.36451660270123
2023,Training,3 Low rise,20.18495752
2023,Training,4 Mid rise,6.148455472283724
2023,Training,5 High rise L1,2.9091076605925896
2023,Training,6 High rise L2,4.634878772784987
2023,Training,7 High rise L3,0.46296962769525773
2023,Training,8 Extra high rise,0.032534557170126946
