Year,CityTier,LayerType,Percentage(%)
2023,Tier 4,5 High rise L1,0.5437196110517234
2023,Tier 4,6 High rise L2,0.8452733009991519
2023,Tier 4,7 High rise L3,0.1189268441037024
2023,Tier 4,8 Extra high rise,0.016719359126538314
2023,Tier 5,1 Underground,0.24347228941988047
2023,Tier 5,2 Ground floor,93.99543069263544
2023,Tier 5,3 Low rise,3.459875694670382
2023,Tier 5,4 Mid rise,1.198872920190792
2023,Tier 5,5 High rise L1,0.37973513384372876
2023,Tier 5,6 High rise L2,0.5717036697324807
2023,Tier 5,7 High rise L3,0.14094500383576905
2023,Tier 5,8 Extra high rise,0.009964595671523706
